,NKY Index,SHSZ300 Index,SX5E Index,INDU Index,KS
2021-03-12,1.1557447,0.7139036,1.092818,1.0649678,0.9661948
2021-03-15,1.1802292,0.70008,1.1077762,1.101132,0.9480833
2021-03-16,1.1742827,0.69316304,1.1192144,1.115675,0.93029165
2021-03-17,1.1599324,0.6858511,1.1279149,1.1418725,0.89728
2021-03-18,1.1872326,0.68689626,1.1393601,1.1687701,0.88866514
2021-03-19,1.17853,0.68782794,1.1512502,1.1674119,0.8729505
2021-03-22,1.1391546,0.6996869,1.1536592,1.1674099,0.86774725
2021-03-23,1.0887003,0.7125058,1.1541103,1.154064,0.8631415
2021-03-24,1.0269468,0.72167367,1.152513,1.1321275,0.8537617
2021-03-25,0.98785794,0.728346,1.1479514,1.1144999,0.8401339
2021-03-26,0.9462295,0.73725235,1.1512804,1.1085019,0.8276308
2021-03-29,0.9265489,0.7454435,1.1608931,1.1058881,0.8233543
2021-03-30,0.8993318,0.7557908,1.1730196,1.1028967,0.82025903
2021-03-31,0.86703604,0.76520187,1.1845151,1.0958365,0.8186365
2021-04-01,0.8483633,0.7548529,1.1993173,1.104581,0.82563406
2021-04-06,0.86144966,0.7378429,1.2244096,1.1215562,0.84700465
2021-04-07,0.89402735,0.7259729,1.241151,1.1310407,0.8702698
2021-04-08,0.9210685,0.7064755,1.2609732,1.1503445,0.899651
2021-04-09,0.96339816,0.70069355,1.2767522,1.1720897,0.9272001
2021-04-12,0.97457165,0.7053802,1.2850362,1.1849393,0.9546258
2021-04-13,0.9839221,0.7099456,1.2950752,1.1793298,0.9764089
2021-04-14,0.9687436,0.7197212,1.3044494,1.170374,1.0097322
2021-04-15,0.9604988,0.72721696,1.308066,1.1774341,1.0326456
2021-04-16,0.96271825,0.7301591,1.3183515,1.1853105,1.0656952
2021-04-19,0.9350315,0.7480939,1.3205969,1.1812351,1.0886832
2021-04-20,0.8806609,0.7662766,1.3045245,1.1682769,1.1161786
2021-04-21,0.8210154,0.7916798,1.2961483,1.1688803,1.1174011
2021-04-22,0.8022977,0.8148004,1.2894236,1.1591483,1.1293811
2021-04-23,0.77961004,0.8323727,1.2831856,1.1538094,1.1523904
2021-04-26,0.77032685,0.839929,1.2819198,1.1490281,1.1834316
2021-04-27,0.7459465,0.85309786,1.2762177,1.1446717,1.1995113
2021-04-28,0.72841465,0.87945616,1.2704197,1.1339682,1.1976794
2021-04-30,0.7036197,0.90151805,1.2531512,1.1203259,1.1776181
2021-05-06,0.70227534,0.9194401,1.2404429,1.1257591,1.1740046
2021-05-07,0.7001005,0.92203426,1.2311145,1.1336008,1.1713616
2021-05-10,0.71322274,0.93848497,1.2264135,1.141321,1.177417
2021-05-11,0.70374376,0.9451941,1.2103138,1.1239796,1.1785395
2021-05-12,0.6643154,0.96060765,1.1967088,1.1011877,1.1598006
2021-05-13,0.62115544,0.9786204,1.1834393,1.0851884,1.1327943
2021-05-14,0.602408,1.000082,1.1786151,1.0805672,1.1120492
2021-05-17,0.5807637,1.015934,1.1698263,1.0732677,1.0870479
2021-05-18,0.57612085,1.0238593,1.157712,1.0640367,1.0830752
2021-05-20,0.56471527,1.026304,1.1452984,1.0533972,1.0761282
2021-05-21,0.54444027,1.0347517,1.1349182,1.031035,1.0633165
2021-05-24,0.53159696,1.0449975,1.1239464,1.0141996,1.041957
2021-05-25,0.5227778,1.0831926,1.1145481,1.0005652,1.0185921
2021-05-26,0.53314626,1.1114743,1.107815,0.99660975,1.0047418
2021-05-27,0.54304826,1.14123,1.0993952,1.008108,0.9941139
2021-05-28,0.5816849,1.170734,1.096082,1.007815,0.9980531
2021-06-01,0.58730984,1.1908484,1.0921123,1.0047083,0.9984547
2021-06-02,0.61334014,1.1905571,1.0907745,1.0059203,1.0004559
2021-06-03,0.62729466,1.1760718,1.0880662,1.0126541,1.0009596
2021-06-04,0.6504094,1.1746895,1.0891905,1.0205915,1.0047073
2021-06-07,0.6643698,1.1844647,1.0880245,1.0182376,1.0093672
2021-06-08,0.6771915,1.1742669,1.0863283,1.0114068,1.0131589
2021-06-09,0.67505515,1.1505928,1.0884097,1.0029274,0.99308544
2021-06-10,0.6800591,1.1362187,1.1012658,1.0005399,0.99034095
2021-06-11,0.69959813,1.1090716,1.1189028,1.0032955,0.9967386
2021-06-15,0.7281489,1.0783356,1.1382328,0.9956571,1.0008615
2021-06-16,0.7605062,1.038038,1.156839,0.9766715,1.0045315
2021-06-17,0.77532446,1.0082365,1.181815,0.9565174,1.0082347
2021-06-18,0.78022236,0.9821592,1.1813872,0.93075633,1.0094538
2021-06-21,0.7493571,0.9621619,1.1871605,0.92143106,1.0079625
2021-06-22,0.76684535,0.9546742,1.1902795,0.91387314,1.0118308
2021-06-23,0.775602,0.9577633,1.1814181,0.9046334,1.0233346
2021-06-24,0.78958374,0.95276654,1.1822844,0.9070226,1.0419744
2021-06-25,0.7942932,0.9578502,1.1734965,0.91003656,1.06694
2021-06-28,0.793586,0.96325034,1.1574862,0.90428734,1.0858613
2021-06-29,0.7370615,0.97027934,1.1431893,0.90394956,1.0924942
2021-06-30,0.71299815,0.9642291,1.1223596,0.9131828,1.0938108
2021-07-01,0.69088507,0.9552696,1.1054364,0.9257364,1.0944983
2021-07-02,0.6783898,0.941998,1.098553,0.94843084,1.0895203
2021-07-06,0.69294316,0.932311,1.0873656,0.948884,1.1047046
2021-07-07,0.6594701,0.93248117,1.0804907,0.9564542,1.0993916
2021-07-08,0.6316367,0.93265,1.067509,0.95999724,1.0831132
2021-07-09,0.60391426,0.9098019,1.059432,0.9682845,1.0597632
2021-07-12,0.59439707,0.8994513,1.055105,0.97278637,1.0456218
2021-07-13,0.5867423,0.88888747,1.0510913,0.9786901,1.0382698
2021-07-14,0.5818732,0.8761304,1.0451412,0.98675483,1.0275346
2021-07-15,0.5660525,0.8585321,1.0375185,0.99325544,1.0206519
2021-07-16,0.55160594,0.8472244,1.0273613,0.99201393,1.015315
2021-07-19,0.5314257,0.83927494,1.0129403,0.977358,0.9966695
2021-07-20,0.51656026,0.8274869,0.99978137,0.9835513,0.97489923
2021-07-21,0.50786763,0.81865895,0.99136555,0.98875386,0.9543198
2021-07-26,0.5089865,0.80824506,0.9910557,1.0068274,0.94279975
2021-07-27,0.51452726,0.793255,0.98539823,1.0058867,0.9410157
2021-07-28,0.49624127,0.78105277,0.97652006,1.0009459,0.92916507
2021-07-29,0.48529622,0.78042066,0.966514,1.0046899,0.9128299
2021-07-30,0.47296736,0.7897624,0.9540133,1.0016464,0.8878285
2021-08-02,0.47591308,0.8136671,0.94663304,0.994136,0.86716515
2021-08-03,0.47714013,0.83327174,0.9385876,0.99899733,0.85346776
2021-08-04,0.48195422,0.84988606,0.94336385,1.0042937,0.855257
2021-08-05,0.4895745,0.8644031,0.9469001,1.004521,0.8551392
2021-08-06,0.49912405,0.8759146,0.94874567,1.0036788,0.8525369
2021-08-10,0.5045439,0.8690658,0.9544322,0.9999575,0.8423434
2021-08-11,0.5141662,0.87122035,0.96046066,1.0027483,0.8293877
2021-08-12,0.53306866,0.8692225,0.9666249,1.006473,0.81270176
2021-08-13,0.541622,0.8691125,0.97356,1.0070995,0.78749955
2021-08-17,0.54924065,0.8676149,0.97775626,1.0068618,0.7686352
2021-08-18,0.54770255,0.8729832,0.9829006,1.0003872,0.75057435
